"ser","year","pc1","dethspring","dethsummer","grecorand","V","PV","pvv","mqd_std","dethsus","dethsps","pc1.1","pc1.2"
"A11",1982,-3.45241454921761,3.96620708708717,17.1695202402401,"A",108.154936636713,5.55137668916534,5.13280009382478,-1.04996217087759,0.228280491172394,-0.0310850146563104,-0.047344284689808,0.0296403635541795
"A11",1987,-3.87003767846338,-2.4074664264264,-8.02555723723739,"A",94.4700849847209,4.61388213069289,4.88396102474038,-0.909123800597982,-0.534926269484725,-0.503273058829635,-0.0527147009021734,0.0426155665749191
"A11",1997,-0.322216305367549,6.87961105105095,12.7992312312312,"A",121.377847378458,6.51182845474503,5.36492333270754,-0.509705082243394,0.0958961347169427,0.184751977419631,-0.00709156346948191,-0.0294486506876583
"A11",2002,0.354041414223777,-3.36688984984987,-11.3224840840841,"A",94.377166643815,4.2392788673486,4.49184799470395,0.235516148228458,-0.63479644694914,-0.574351106501811,0.00160475904404736,-0.0333683772195184
"A11",2007,0.177161047030323,-10.3624012012012,-14.9167572372372,"A",155.448780276833,6.53495321986634,4.2039269836846,0.271526087329431,-0.743673808909507,-1.09260746462611,-0.000669830472439525,-0.0326466889437251
"A11",2012,-0.0981002543339583,12.8668571771773,-9.32109021021017,"A",158.769498842052,6.45412754502916,4.06509284976071,0.548999789177884,-0.574170424399942,0.628311885577123,-0.00420954762879843,-0.0310959006559866
"A11",2017,1.55820503245565,4.06774078078079,16.6118496096097,"A",181.6668922087,6.45802270672023,3.55487047100538,1.24675962886846,0.211387588346534,-0.0235629795000957,0.0170896768199672,-0.0325665686976702
"A11",2022,4.06568893523291,29.0229810356875,-29.1703761536423,"A",162.442619994724,5.861264415177,3.60820603322415,0.568818901655585,-1.17544300392608,1.82522423290671,0.0493346155235309,0.00108621167628971
"A12",1982,-3.54401075034251,0.322412715263031,-7.65377624439721,"A",106.131569490362,4.79512640534424,4.51809619736159,-0.84979462248669,-0.523664316927798,-0.301032343171562,-0.0485221641918381,0.0323835577103958
"A12",1997,-0.498113541388567,5.3808345128568,13.2265422269404,"A",153.108138653691,7.29290577408922,4.76323847851402,-0.295896112163203,0.108840196552828,0.0737164245752198,-0.00935351043047416,-0.0279140120735535
"A12",2007,0.155694230098372,-12.7672334276952,-6.8157012267045,"A",190.198061428679,8.05144926278342,4.23319207477968,-0.0194462923326727,-0.498277432524974,-1.27076736302468,-0.000945882572062062,-0.0325444701341552
"A12",2012,-0.186759939101494,14.1637502948809,-2.63135232366121,"A",192.599973021379,7.68718689199894,3.99127101183219,0.601862808512094,-0.371525555115365,0.724391081264184,-0.00534966505792332,-0.0304855238593627
"A12",2017,1.70118724564741,1.76084512856806,12.9905549657938,"A",211.744914097827,6.68656601604939,3.15784019868368,1.32466679870371,0.101691694100432,-0.194467332197288,0.0189283537083658,-0.0318094309101219
"A12",2022,4.45931599171577,28.4618220489189,-27.3438538343379,"A",223.753829532742,7.69467415918601,3.43890166047863,1.96120445135418,-1.12011417297367,1.78365125872302,0.0543964547218987,0.0102933847607033
"A13",1982,-3.48292358501276,-0.417600060528092,-4.33104083125271,"A",139.605906510551,5.49748988532888,3.93786339184252,-0.413198269778962,-0.423012348960895,-0.355855544347968,-0.0477366150206348,0.030547667209618
"A13",1987,-4.09210537508916,-1.66853900279945,-2.61651711180041,"A",138.345048501442,6.19892802233293,4.48077331966695,-0.341348506018683,-0.371076168365192,-0.448530265021845,-0.055570375970639,0.0500031957727507
"A13",1997,-0.65692799664796,7.51098887796021,28.7286580414113,"A",167.020925775399,6.06788791287018,3.6330105851706,0.499347043181456,0.578428734419803,0.231527053141754,-0.0113957817166057,-0.0263457402747676
"A13",2002,0.630863553764268,-3.92760686994024,-7.99961615091675,"A",138.162106276162,5.73170802655305,4.14853839525026,0.191783801672553,-0.534140464698992,-0.615891337969552,0.0051645477674709,-0.0340662304593886
"A13",2007,0.26909185994136,-12.0337837633351,-9.94465208948039,"A",179.00053907413,6.89999515228527,3.85473428626255,0.644738378298591,-0.593059298322736,-1.21643038423537,0.000512351963109492,-0.0330486124466633
"A13",2012,-0.242683981722766,18.1021426950141,-16.814371390381,"A",180.627550645285,7.10896334476901,3.93570267623766,0.803714026554467,-0.801156146564259,1.01616344780651,-0.00606881915673174,-0.0300727287735915
"A13",2017,2.0927705205744,-1.6971854429901,29.7714725984212,"A",196.339479814161,6.26041459445361,3.18856635475412,1.68482140565331,0.610017568418551,-0.450652511562631,0.023963910939013,-0.0290165171767017
"A13",2022,5.24893385163112,42.6804133212142,39.5251156390447,"A",176.483220474835,5.31239258829607,3.01014032609041,2.20056348290665,0.905473945414991,2.83702319400182,0.0645505296748861,0.031973780132819
"A21",1982,-3.54945199152759,3.65763542902336,-20.4453334651377,"A",100.312569975336,5.66848770563933,5.65082492356944,-0.557138994405351,-0.911144885659073,-0.0539452768582489,-0.0485921357231766,0.0325483307121198
"A21",1997,-0.349583899516122,8.70567813364971,10.9101509160406,"A",123.638227026746,5.93754791407467,4.80235608101227,0.281092469490432,0.0386723032257885,0.320034564836989,-0.00744349649477764,-0.0292238475266793
"A21",2007,0.0672577111164557,-13.0390431000395,4.49865625411896,"A",171.254752009237,6.79223493141569,3.96615851631921,0.812065798644141,-0.155544050197608,-1.29090414557237,-0.00208313020526522,-0.032089959918313
"A21",2012,-0.200572353911573,17.6063187030447,-15.002446948728,"A",167.266184443638,6.94472836322342,4.15190218293256,0.393169700376439,-0.746269513057947,0.979430759738025,-0.00552728552775202,-0.0303855684384721
