ser,win,tmoy,deth
A11,1982,-1.9466666666666668,122.22333333333336
A11,1987,-2.4,-229.2933333333333
A11,1992,1.4866666666666704,30.936666666666678
A11,1997,4.806666666666669,71.00666666666673
A11,2002,6.219999999999999,-263.9366666666667
A11,2007,5.706666666666669,-376.1833333333334
A11,2012,5.473333333333338,-57.18666666666665
A11,2017,9.52,49.81666666666668
A11,2022,14.700000000000003,-104.41666666666674
A12,1982,-2.0666666666666687,-159.43999999999997
A12,1987,-2.9666666666666686,-38.873333333333356
A12,1992,2.0866666666666647,105.11333333333332
A12,1997,4.513333333333333,132.75999999999993
A12,2002,6.88666666666667,-187.3333333333334
A12,2007,5.813333333333333,-271.65333333333336
A12,2012,4.820000000000002,73.32000000000002
A12,2017,9.34,71.60000000000014
A12,2022,15.36666666666666,-49.566666666666606
A13,1982,-1.980000000000004,-80.25999999999999
A13,1987,-3.2200000000000015,-59.49333333333334
A13,1992,2.246666666666667,32.41000000000004
A13,1997,4.426666666666665,311.8833333333333
A13,2002,7.140000000000001,-166.27666666666664
A13,2007,5.993333333333334,-255.10333333333335
A13,2012,5.006666666666666,-3.5799999999999725
A13,2017,10.433333333333332,224.32333333333335
A13,2022,17.299999999999997,677.0333333333333
A21,1982,-2.1199999999999988,-296.12
A21,1987,-2.853333333333333,-183.34666666666672
A21,1992,2.133333333333334,173.84666666666672
A21,1997,4.640000000000001,131.48666666666668
A21,2002,6.4,-187.87333333333336
A21,2007,5.419999999999999,-165.16000000000003
A21,2012,4.859999999999999,-53.97333333333336
A21,2017,9.439999999999998,317.47333333333324
A21,2022,15.700000000000003,-402.2333333333331
A22,1982,-2.426666666666665,-381.19333333333327
A22,1987,-3.2133333333333325,-186.61000000000007
A22,1992,2.6333333333333315,302.6033333333333
A22,1997,4.633333333333335,256.48
A22,2002,7.06,-116.37999999999992
A22,2007,5.5266666666666655,-177.79333333333335
A22,2012,5.1066666666666665,-5.616666666666651
A22,2017,10.333333333333334,165.68333333333334
A22,2022,17.33333333333333,204.5666666666666
A30,1982,-2.479999999999998,-496.7900000000001
A30,1987,-2.9133333333333327,-84.81666666666665
A30,1992,2.673333333333332,401.1366666666667
A30,1997,5.140000000000001,298.96333333333325
A30,2002,6.726666666666665,-162.82666666666665
A30,2007,5.273333333333335,89.45333333333333
A30,2012,4.689999999999998,38.483333333333256
A30,2017,9.913333333333332,281.65666666666664
A30,2022,17.13333333333334,67.5666666666666
B10,1982,-2.126666666666668,-194.79666666666668
B10,1987,-3.6599999999999993,-151.80333333333334
B10,1992,2.5866666666666647,113.14666666666672
B10,1997,3.806666666666666,188.83666666666667
B10,2002,8.09333333333333,-225.60666666666663
B10,2007,7.906666666666666,-247.52333333333334
B10,2012,6.140000000000003,-89.75333333333329
B10,2017,12.480000000000004,432.03666666666663
B10,2022,19.599999999999994,1118.4
B21,1982,-1.8733333333333348,-161.30666666666667
B21,1987,-4.073333333333332,-59.95333333333328
B21,1992,2.4066666666666663,100.3066666666667
B21,1997,3.8333333333333313,80.54666666666671
B21,2002,8.2,-191.57333333333335
B21,2007,8.926666666666668,-442.8666666666667
B21,2012,5.633333333333335,-91.83333333333334
B21,2017,11.74,295.8666666666667
B21,2022,18.766666666666666,674
B22,1982,-2.2866666666666675,-300.18
B22,1987,-3.8599999999999994,-173.7966666666667
B22,1992,2.7133333333333325,293.83
B22,1997,3.620000000000002,76.89333333333335
B22,2002,8.293333333333331,-69.19999999999997
B22,2007,8.133333333333335,-253.04
B22,2012,6.480000000000001,-166.93
B22,2017,12.833333333333332,581.64
B22,2022,21.066666666666663,1695.4666666666667
B23,1982,-2.6066666666666665,-285.36
B23,1987,-3.633333333333334,-194.8
B23,1992,3.146666666666667,266.64
B23,1997,3.253333333333333,111.71333333333332
B23,2002,8.846666666666668,-71.92666666666666
B23,2007,8.433333333333334,-146.85333333333332
B23,2012,7.766666666666666,-43.64000000000001
B23,2017,13.940000000000001,638.1866666666667
B23,2022,21.83333333333333,1983.8333333333335
B31,1982,-2,-171.33333333333334
B31,1987,-3.4933333333333367,-118.01333333333339
B31,1992,2.2799999999999985,36.74666666666676
B31,1997,4.3933333333333335,345.9866666666666
B31,2002,7.793333333333334,-140.20333333333335
B31,2007,7.093333333333334,-202.07666666666665
B31,2012,5.659999999999999,32.643333333333295
B31,2017,11.353333333333333,432.69666666666666
B31,2022,18.33333333333333,828.65
B32,1982,-2.0333333333333314,-267.64
B32,1987,-3.573333333333335,-215.7133333333333
B32,1992,2.620000000000002,181.0999999999999
B32,1997,4.119999999999999,343.5133333333334
B32,2002,7.7799999999999985,12.619999999999937
B32,2007,6.920000000000002,-5.386666666666633
B32,2012,5.753333333333333,-53.71333333333337
B32,2017,12.14,480.88
B32,2022,20,1425
B33,1982,-2.2,-325.5233333333333
B33,1987,-3.2599999999999967,-115.03666666666656
B33,1992,3.0133333333333354,293.84333333333336
B33,1997,4.100000000000003,337.02666666666664
B33,2002,7.586666666666664,-231.14999999999995
B33,2007,6.233333333333334,25.456666666666727
B33,2012,5.7399999999999975,-128.94333333333333
B33,2017,12.346666666666668,366.82666666666665
B33,2022,20.799999999999997,1539.95
B41,1982,-2.1733333333333347,-352.3933333333333
B41,1987,-3.9599999999999995,-167.04333333333335
B41,1992,2.753333333333336,360.58333333333337
B41,1997,3.706666666666666,237.22000000000006
B41,2002,7.773333333333335,-160.61333333333332
B41,2007,7.3533333333333335,-12.973333333333311
B41,2012,5.913333333333336,-133.59333333333336
B41,2017,12.300000000000002,611.7066666666667
B41,2022,20.799999999999997,1674.25
