"greco","ser","year","V","PV","GTOT","NT","mqd"
"A","A11",1982,108.154936636713,5.55137668916534,17.8236343931842,819.345708122152,0.52284080301812
"A","A11",1987,94.4700849847209,4.61388213069289,17.6107987026747,772.70535448225,0.535164747365513
"A","A11",1997,121.377847378458,6.51182845474503,20.3961514062253,788.555596355683,0.57011554981045
"A","A11",2002,94.377166643815,4.2392788673486,14.955265955448,465.598328782552,0.635325513207487
"A","A12",1982,106.131569490362,4.79512640534424,16.5911455128841,714.045360229869,0.540356297706295
"A","A12",1997,153.108138653691,7.29290577408922,22.9032607061093,830.108964156907,0.588824725747452
"A","A13",1982,139.605906510551,5.49748988532888,18.5526632460146,696.496389125367,0.578560298095983
"A","A13",1987,138.345048501442,6.19892802233293,18.7787610134412,689.908657544877,0.584847451860949
"A","A13",1997,167.020925775399,6.06788791287018,20.7657696812123,601.953112467982,0.65841181603866
"A","A13",2002,138.162106276162,5.73170802655305,18.5474463214815,584.452197015026,0.631498750628043
"A","A21",1982,100.312569975336,5.66848770563933,16.0954311731429,631.442060112622,0.565964884814096
"A","A21",1997,123.638227026746,5.93754791407467,19.3368509207934,594.521663317354,0.63931363125853
"A","A22",1982,120.914412392704,5.01179782676952,17.5976167474395,856.758519919354,0.508045540534104
"A","A22",1987,119.281762508092,5.14189436864916,17.5325061074156,727.615211711404,0.550270266294462
"A","A22",1997,140.081819327164,5.43226433721405,19.3435629008257,657.825411050697,0.607879985088728
"A","A22",2002,124.640935950507,4.94059936208048,17.951732499428,567.795483084664,0.630321541297853
"A","A30",1982,96.1016148230544,5.55981052584102,15.0459588805095,901.491092098157,0.457966960505353
"A","A30",1992,103.863234870675,4.84432948630316,16.180978469601,686.241746253504,0.544338127492431
"A","A30",1997,103.428413134981,5.0477362321826,17.0462662765168,754.067916336481,0.532984199707026
"B","B10",1982,135.253289629981,4.75381200625554,17.2453415717971,600.616980574815,0.600678419214121
"B","B10",1987,154.779690644525,5.18223228415094,18.5785907590838,491.094386288083,0.68949136465027
"B","B10",1992,168.665511599782,5.1197063595897,20.7903091827437,544.123793142961,0.692925505854652
"B","B10",2002,162.975028721118,5.75451473257964,19.5343656599427,487.016455029417,0.709958185707904
"B","B21",1987,133.57850676346,4.61882448688498,16.7890882221948,482.383803406568,0.661335946121286
"B","B21",2002,132.392999420653,4.64514459216977,16.4615139564385,436.887270812156,0.688105649722875
"B","B22",1982,87.2406154102434,4.26599143344941,13.2241693618199,633.844334809724,0.512032852726944
"B","B22",1987,141.52559008255,6.17807480338319,19.6858100947329,747.990945047007,0.575086810689589
"B","B23",1982,154.968769449979,6.21093470296735,18.4705659441094,636.149431135935,0.60403967012275
"B","B23",1987,160.821798758694,4.77474521973661,18.7562468425493,509.6910148129,0.680024270194611
"B","B23",1992,154.205459538763,6.96113013391751,19.2311152414159,633.559591992102,0.617608738207349
"B","B23",2002,193.854499465201,6.85393238103025,22.3040543945305,539.20689969501,0.72097319661357
"B","B31",1987,144.866873573601,5.98212779889026,18.8608309839492,618.203585629597,0.619183798063225
"B","B31",2002,137.064395473088,5.05204464551646,17.3164235079051,466.498549676117,0.682981409451742
"B","B32",1982,102.637219556286,4.6313577743886,16.4798036329588,1098.31425039296,0.434227814725684
"B","B32",1987,139.847924796861,5.61863280172395,18.64213364679,677.479508746337,0.588037007229387
"B","B32",1992,159.330409607677,6.1446718689879,21.5091710818875,956.403254365423,0.531613800271383
"B","B32",2002,132.067728345378,5.19853341169992,16.4426565582551,502.368022610117,0.641327601013176
"B","B33",1982,142.371331745905,5.14054226320818,18.2029430529945,826.363980782307,0.526126343411647
"B","B33",1987,196.902910956643,6.76202482986064,21.2573469835171,680.603428472579,0.626487480398861
"B","B33",1992,169.211661062536,5.5938742215745,20.8164551763579,719.482543341361,0.602973449241331
"B","B33",1997,177.722291388184,6.41035471255203,21.6304291247002,694.85920125484,0.625444954449957
"B","B33",2002,195.351289268844,6.75326032421153,21.2672695002871,571.120630606693,0.68406421967954
"B","B41",1982,136.298188784947,4.52991391613734,17.70515920425,717.446064024801,0.556878205754773
"B","B41",1992,158.019886917512,5.19150339570068,19.3508758345491,569.489879278858,0.653449815915627
"B","B41",2002,166.982777553178,5.59378304465998,19.7583292208373,517.333632354002,0.692778951497599
"B","B42",1982,122.782748117396,4.70815263952177,16.4561621387372,777.912991907955,0.515589065693837
"B","B42",1987,164.520541980569,6.41832613639954,19.8447619462292,768.773739304623,0.569545741407913
"B","B42",1992,154.748519926911,5.81081525495658,19.1034802197412,664.329151513971,0.601131551662716
"B","B42",1997,200.280996811545,6.50698317053568,21.8223773439356,630.520917766132,0.659486960586917
"B","B42",2002,155.325380502591,6.03961697313706,19.0116011078449,615.356056795832,0.623090369713529
"B","B43",1982,90.5608693926506,4.19660372846054,14.3037782898916,715.346077186881,0.501270580871702
"B","B43",1987,56.3194968607824,2.74854367654815,9.09237300393451,452.587211052234,0.502449496149764
"B","B43",1992,76.2946700485302,2.95492426007583,11.8465420696301,490.346998030786,0.550996667404971
"B","B43",1997,69.4886800204055,3.17364593650839,10.3919959760665,441.912002724623,0.543608849644849
"B","B44",1982,79.1446308286333,3.92341861209553,14.2268086028613,1132.31440136038,0.397351778290175
"B","B44",1992,105.518194894882,5.15661872794856,15.9037749806874,815.20079344318,0.495133996266754
"B","B51",1982,157.586305485187,5.4997292541227,18.8411428375487,697.252842483347,0.582724672304185
"B","B51",1987,167.402362935061,6.18846408362502,19.7860439903237,693.483902094712,0.598778537330967
"B","B51",1992,188.840235979488,5.78312279541645,21.927756412257,681.25254449057,0.635986595698499
"B","B51",1997,189.085521943115,6.68555356483423,21.5539723189386,674.806983452271,0.633546955423265
"B","B52",1982,120.743160277586,4.90295835239144,17.0908086061952,862.389932916343,0.499038897884354
"B","B52",1987,137.740900894077,5.75070019569926,18.3786831264051,849.353053493279,0.521456398468646
