"greco","ser","year","V","PV","GTOT","NT","mqd","pvv"
"Centre nord","B92",1992,129.385831169277,5.1589755579845,18.4549118106767,709.964861843515,0.181925098619339,0.0398728014602693
"Centre nord","B92",1997,156.094924155262,5.6512888524672,20.7510923608012,763.786078365333,0.185990033194271,0.0362041807768591
"Centre nord","B92",2002,169.211376403313,5.88623927432894,20.8840970347136,693.324237461124,0.195836987181045,0.0347863092863164
"Grand est","C11",1987,125.565299362472,6.35891375872464,17.1856209886596,763.096033251141,0.169335524054275,0.050642285655436
"Grand est","C11",1997,154.199737852191,6.38022814705071,19.4017811170521,664.058222075416,0.192873597263751,0.0413763877677049
"Grand est","C12",1982,167.562030515764,5.05246509432718,18.9740513248839,614.147802044534,0.198334672716279,0.0301528041810872
"Grand est","C12",1987,180.323153701094,8.0223791635319,21.6570283856965,838.009712367377,0.181396943983451,0.0444889022783503
"Grand est","C12",1992,194.69200676851,7.14371567303113,22.2733270080669,628.074617500619,0.212491706679577,0.0366923932399806
"Grand est","C12",1997,226.043900601949,8.44148582351478,23.8024334565617,705.17774371042,0.207308180851903,0.037344453006851
"Grand est","C20",1982,126.795459868337,4.09652830478988,17.1422376353065,719.380937332062,0.174184438244616,0.0323081623667257
"Grand est","C20",1987,124.559517874956,4.63687679858859,17.371875785679,777.023811904261,0.168717935675427,0.037226194173644
"Grand est","C20",1992,147.928032583609,4.85756932261933,20.0818317175753,715.943508695026,0.188980652058319,0.0328373820551816
"Grand est","C20",1997,162.263771516076,5.37303300240236,20.8083309990542,719.831514016022,0.191848432481757,0.033112955234558
"Grand est","C20",2002,142.886581512065,4.50885057149989,19.740377022555,787.322908300726,0.178671933356113,0.0315554513501966
"Grand est","C30",1982,191.971181101144,5.3012572401742,21.9566123041305,680.935501630937,0.202621132006792,0.0276148597397081
"Grand est","C30",1987,177.814521279822,5.45879723774853,20.2584783279375,607.499107051055,0.206056181707779,0.030699389445017
"Grand est","C30",1992,197.258211189341,5.42237795304459,22.6810710990285,595.231343274581,0.220264213822276,0.0274887312439422
"Grand est","C30",1997,217.379726110399,6.28091919679172,24.3068665319855,602.040175042279,0.226728863347302,0.0288937671841664
"Grand est","C41",1982,157.747878380199,4.89921884817202,19.1653125484792,723.715357308258,0.183623862359409,0.0310572725191529
"Grand est","C41",1987,171.362133821177,5.49994255227273,19.9893550651154,621.82582165337,0.202311269028343,0.0320954368951318
"Grand est","C41",1997,127.729490580397,4.56085416699565,17.1356415787074,640.183761969668,0.184609020061638,0.0357071350263072
"Grand est","C41",2002,152.342708541875,5.4086734262252,17.2092184684482,490.271335310156,0.211406035630233,0.0355033298146888
"Grand est","C42",1982,219.94731811667,6.08349938590086,23.2925456372524,626.045725930779,0.217650921079271,0.0276588932203933
"Grand est","C42",1987,258.538880359451,8.03744965747959,25.1055388571806,592.495619723246,0.232272214744968,0.0310879727115124
"Grand est","C42",1997,240.221837198429,7.40776278306842,25.8492703599014,615.201354126634,0.231297299598482,0.0308371747941859
"Grand est","C51",1982,135.134002547616,4.80155516135988,16.8760648532912,653.376737153529,0.181346349750805,0.0355318059913752
"Grand est","C51",1987,123.104540412514,4.94041472488167,16.4062458174479,588.751053391212,0.188362227634901,0.0401318644164278
"Grand est","C51",1992,145.924086491728,4.8915215342757,18.2923524016125,549.882831857116,0.205804448913238,0.0335210015829223
"Grand est","C51",1997,171.597838480986,6.03525625726723,20.9904238816996,628.939553428063,0.206139495936905,0.035170934032109
"Grand est","C51",2002,165.569021534368,5.63343287307604,19.8323713983197,638.777930826451,0.198823370183222,0.0340246793806573
"Grand est","C52",1982,116.653880468994,6.03972331396019,17.797504688477,1043.47919433782,0.147364447515471,0.0517747312792181
"Grand est","C52",1987,146.477630666854,5.31819818958532,20.2261971265633,881.968888771716,0.170877760755009,0.0363072379405217
"Grand est","C52",1997,160.892443513773,6.26998955694112,22.1948608155888,940.149337696236,0.173373553253684,0.0389700685750627
"Grand est","C52",2002,133.642775154754,5.30564725842911,20.2793221599507,913.498315823457,0.168123298117699,0.0397002176308098
"Vosges","D11",1982,265.746369178685,7.21599175025842,26.5828812668545,733.886119382666,0.214754240586651,0.0271536795500166
"Vosges","D11",1987,266.859795768443,8.51535046731684,28.0338744067611,757.942054891421,0.217009436164353,0.031909454336485
"Vosges","D11",1992,298.045617846105,9.92955751451549,29.7568731951131,712.822685583428,0.230546190347273,0.0333155628533434
"Vosges","D11",1997,269.576953319576,9.26503827245394,29.4829292450749,749.782466524565,0.223754992510337,0.0343688069709375
"Vosges","D11",2002,287.018604949108,10.3361472297212,28.9305096522818,733.671310001746,0.224069287565095,0.0360121157705229
"Vosges","D12",1982,238.100749104449,6.9669777468483,23.708055655302,668.937207735337,0.21242731109835,0.0292606292632538
"Vosges","D12",1987,244.055595372026,8.21508973901678,24.4264928953887,695.982749984774,0.211390944717821,0.0336607309760471
"Vosges","D12",1992,248.714616869664,8.57581908240895,25.873739970093,663.785006965501,0.222777304337779,0.0344805592463551
"Vosges","D12",1997,214.227258994449,6.39707896188172,23.4449889172272,542.172770319049,0.234644956664294,0.0298611810276091
"Vosges","D12",2002,252.428940925535,8.87203604194164,24.5701019370082,657.607674724626,0.218109761033175,0.0351466674518863
"Jura","E10",1982,116.661471278363,4.67747231177848,16.631968303428,829.625280007149,0.159766563941436,0.040094405295281
"Jura","E10",1992,154.769354222809,5.71661809354882,21.5349619886963,869.107589340878,0.177619377191235,0.0369363697500415
"Jura","E10",1997,125.257267885732,4.78682308527683,20.019078693761,980.956160176407,0.161195273441187,0.0382159308284105
"Jura","E20",1982,259.352858676028,6.85702557831711,26.3138611888883,700.040171229638,0.218769043414536,0.026438982062205
"Jura","E20",1992,281.494433455518,8.0633950629835,29.1195269910939,688.421162764633,0.232070592542806,0.0286449538770638
"Jura","E20",1997,249.121866028446,6.52888661162089,28.2421223434908,782.307519872251,0.214395157539837,0.0262076015875515
"Sud ouest","F11",1982,100.187857014045,6.31382796513286,16.4457602788887,1127.70487297651,0.136264996223722,0.0630198923632809
"Sud ouest","F11",1992,109.291835542534,6.51302012278031,18.1122049239101,1112.69478475055,0.143963598821922,0.0595929246722696
"Sud ouest","F12",1982,73.4010390477654,3.03550237694292,12.9457397745342,829.433967895352,0.140970288072238,0.0413550327941214
"Sud ouest","F12",1987,88.7724408248863,3.24386759417051,14.359154702119,771.028371063223,0.153987091868794,0.0365413811316668
"Sud ouest","F12",1992,78.1810073955058,3.49253534027086,14.1436868059411,828.862404144007,0.147399209413618,0.0446724269310404
"Sud ouest","F12",1997,92.8013839027234,3.6581442012535,15.1559115359468,775.129870588749,0.157782507449661,0.0394190694945676
"Sud ouest","F14",1982,114.387876208698,5.84370593722606,17.7886689310496,1019.62182591952,0.149041503799568,0.0510867596366973
"Sud ouest","F14",1992,126.429991771375,5.41631813563619,19.4649959816509,929.689579814638,0.163272573016549,0.0428404531215233
"Sud ouest","F15",1982,112.276216319348,4.77968482504546,17.1615287350239,894.106563132245,0.156328587491842,0.0425707686074009
"Sud ouest","F15",1987,149.795870633383,5.15990307611915,20.9594074302757,782.199812145892,0.184707999923758,0.034446230422117
"Sud ouest","F15",1992,128.43395044653,4.9353123679348,19.7032673516786,854.913562338205,0.171302255422212,0.0384268517068584
"Sud ouest","F15",2002,142.887717114583,4.96485347025646,20.8894850553915,749.055393560906,0.188435167807473,0.0347465378446428
"Sud ouest","F21",1982,115.835513910367,6.97832618637876,15.4299711433998,499.376469098355,0.198346060523996,0.0602434085264952
"Sud ouest","F21",1987,139.52304009725,7.41298677868267,16.7560244184,419.517730072947,0.225509785326725,0.0531309149622577
"Sud ouest","F21",1997,152.127191499286,8.4693144695367,18.8569485865307,423.806118567112,0.238016550383506,0.055672588089398
"Sud ouest","F21",2002,144.644121574937,7.12601401321856,17.6334457570106,396.890317273664,0.237841919145514,0.0492658390512381
"Sud ouest","F22",1982,89.1087148256673,3.77534160029056,13.6925977316024,457.720659316064,0.195163108407063,0.0423678156247305
"Sud ouest","F22",1987,145.348071257312,7.0048373000954,18.6808421169031,420.342883418627,0.237876442441062,0.0481935345925205
"Sud ouest","F22",1992,110.422409949136,3.74423687305141,16.8210350473235,534.149905319958,0.200239540169668,0.0339083060655544
"Sud ouest","F22",1997,148.374507091895,7.39082657351265,19.3422182807769,383.248556530872,0.253494146546617,0.049811970522235
"Sud ouest","F23",1982,133.941810455252,5.88033038727425,18.1186805968768,643.103842806914,0.18939904792528,0.0439021271049549
"Sud ouest","F23",1987,166.229383176969,8.73568840504909,20.8580157270937,686.792058144262,0.196643195220797,0.052552011191361
"Sud ouest","F23",1992,135.459281522718,5.79838287928983,18.6512251312763,590.903287438213,0.20047052992717,0.0428053568135703
"Sud ouest","F23",1997,155.353550506565,7.21306371892704,20.3164094247226,623.782402921341,0.203639479337604,0.0464299895007693
"Sud ouest","F30",1982,91.6694836853098,3.90223236688184,15.1606759579017,878.054819012758,0.148270081602487,0.0425684994613664
"Sud ouest","F30",1987,107.934759747715,4.37765438054259,17.2047665345696,779.648845281692,0.167621580451728,0.040558337191604
"Sud ouest","F30",1992,96.4735995193867,3.91843238341219,16.0770126370538,745.18042870567,0.165739878377318,0.0406166288283332
"Sud ouest","F30",1997,142.000029246934,5.71508031985965,18.849280333801,566.36613133609,0.205851392288496,0.0402470362166003
"Sud ouest","F30",2002,126.658522739802,4.69339930587562,18.470175031871,706.155319514396,0.182490578251508,0.0370555348692753
"Sud ouest","F40",1982,48.4093876787509,1.82628403449015,10.4478346734111,756.464420861514,0.132609290646787,0.0377258238961736
"Sud ouest","F40",1987,54.1080169266178,1.70358670194825,12.6554638305384,806.616451771653,0.141338525076626,0.0314849221744475
"Sud ouest","F40",1992,62.9392513646114,2.06715113832067,13.4465581682878,778.513345017344,0.148295371398603,0.0328435927263501
"Sud ouest","F40",2002,66.6814511075194,1.84643960196369,13.4217584085299,760.187095229105,0.149933790819278,0.0276904532114401
"Sud ouest","F51",1987,108.253490632343,4.27424809545601,15.7156455153553,421.666715375771,0.217839439529256,0.0394836976663639
"Sud ouest","F51",1997,124.986550608415,3.9997830048417,18.2629627240908,381.43913402545,0.246903957903107,0.032001707266673
"Sud ouest","F52",1987,135.455105113466,6.01152885079058,18.3608353852847,551.837601923926,0.205823819363614,0.0443802309684449
"Sud ouest","F52",1997,147.65661867331,6.11787592751964,20.5680351866941,529.655217655796,0.222359062937214,0.0414331303431473
"Sud ouest","F52",2002,170.746438549363,6.14682712645049,22.2359799600515,577.492723961332,0.221416477801388,0.0359997384347987
"Massif central","G11",1982,124.6147803807,5.60231877119268,18.7938352503782,891.352086844618,0.163846860514897,0.0449570970159199
"Massif central","G11",1992,150.832595619908,7.10137989970202,22.024151258262,854.713599165723,0.181131649815623,0.0470812019810176
"Massif central","G11",2002,132.018226033838,5.63437415624298,19.4562934453746,683.837262786084,0.190330650606793,0.0426787597857799
"Massif central","G12",1982,110.661132913739,5.0327193467653,17.7439548420833,895.191752995592,0.158862808032385,0.0454786537445657
"Massif central","G12",1987,136.538835790107,4.46683766990655,19.7437890034114,715.834935927626,0.187397531087298,0.0327147777704297
"Massif central","G12",1992,125.847615851095,4.93323490922445,19.8553326273337,798.261014102499,0.177959502541641,0.0392000664920148
"Massif central","G12",2002,158.566498404031,5.33144441861576,21.7434994056455,683.623509115762,0.201238598985617,0.0336227669291852
"Massif central","G13",1982,124.042821120599,5.71676225270225,18.8425800173317,841.654224129048,0.168833409041749,0.0460870060923896
"Massif central","G13",1987,145.299428629789,5.37178085059721,20.9572862445146,753.765255809034,0.188150130711935,0.0369704196448291
"Massif central","G13",1992,156.215787716084,7.07171722257956,22.7803959203443,758.757931787271,0.195516795769662,0.0452689022407396
"Massif central","G13",2002,170.806891263939,6.77811567648147,22.3784390840543,676.663189649267,0.205202987340477,0.0396829169263879
"Massif central","G21",1982,125.568381110682,5.79429568113909,18.4539310752771,697.745351293774,0.183506321911154,0.0461445439519661
"Massif central","G21",1987,160.716451019421,5.42852768187484,22.1528886348177,660.528167160526,0.206644842437093,0.03377705049758
"Massif central","G21",1992,136.12545743492,7.54093288171674,20.8029779990984,764.773017261379,0.186102212285609,0.0553969332688704
"Massif central","G21",2002,160.295148986873,8.00905830920976,21.6214514913721,628.324369299466,0.20931749570528,0.0499644459600313
"Massif central","G22",1982,141.714019961501,5.5391198507565,20.1294203986708,722.082400502997,0.188398445214097,0.0390866045029369
"Massif central","G22",1987,180.36430180435,7.42483078899516,24.1499582786449,758.160089663185,0.201387630567531,0.0411657446330441
"Massif central","G22",1992,173.61483144496,6.53080924435396,25.1525582851832,811.73852322992,0.198626899201502,0.0376166551555497
"Massif central","G22",1997,135.489180518124,5.36291842418221,20.4157084554863,633.114491792783,0.202626461183433,0.0395818943156485
"Massif central","G22",2002,246.724799820185,8.9706938183906,29.6510489720994,791.714978632495,0.218368836239722,0.0363591087111166
"Massif central","G23",1982,117.488913739742,5.37590792067246,17.6516542109561,899.963353614716,0.158028476131266,0.0457567250351895
"Massif central","G23",1987,148.794973618454,7.51453594516802,21.5222809384303,856.872352171782,0.178830315318812,0.0505026195605039
"Massif central","G23",1997,192.482511817801,9.20462895796667,25.1649584195425,872.201908518157,0.191665811194903,0.0478205987184931
"Massif central","G23",2002,237.515741974017,9.66377604445555,25.8233516152461,726.096367203235,0.212796378071158,0.0406868865370309
"Massif central","G30",1982,135.239125950809,4.34274267112789,19.9082121115341,657.082169683201,0.196408983369218,0.0321115848730602
"Massif central","G30",1987,144.161742520943,5.16640256510017,22.4401340610064,711.617012202509,0.200375501311874,0.0358375424350162
"Massif central","G30",1992,146.40523769071,5.64088936249077,23.3922173921257,784.514440511309,0.19484545686652,0.0385292865983899
"Massif central","G30",1997,153.557943379809,6.67425108292371,24.7807387754856,864.748263001418,0.191014939375268,0.0434640562124205
"Massif central","G30",2002,189.552129937556,6.65589866890365,26.0561010207638,698.052584437581,0.218004623490166,0.0351138162947381
"Massif central","G41",1982,148.606812742674,7.71014008579656,20.1928265093768,934.655690456947,0.165854702288761,0.0518828171030582
"Massif central","G41",1987,167.735340169418,8.48999161304171,23.4754351262135,927.686698469506,0.179498663775842,0.0506154016468238
"Massif central","G41",1992,197.930279548101,9.06540012850443,25.4279239636506,852.726271716102,0.194852368724673,0.0458009767338369
"Massif central","G41",2002,238.815750015944,9.74720489169676,26.7924878634089,783.298775104879,0.208688182601,0.0408147489897379
"Massif central","G42",1982,134.878029431156,5.70680652894086,21.5138354122876,822.252477650299,0.182520388632469,0.0423108682193028
"Massif central","G42",1992,223.170991515666,9.18647067498496,29.3019363204941,814.818790604872,0.213979762693534,0.0411633725897574
"Massif central","G42",1997,132.293221102719,5.425071407879,22.7317737497754,745.606911932484,0.197022923522785,0.0410079319458608
"Massif central","G50",1982,114.185511871509,3.92852750764318,18.8500941224428,710.373015684318,0.183809770537262,0.0344047808102301
"Massif central","G50",1987,142.320351850275,4.75766824819586,21.9261343122105,726.590779104788,0.196015833370091,0.0334292895312756
"Massif central","G50",1992,126.533913756514,4.45369872659893,21.0013442750767,702.407604689342,0.195112010507763,0.0351976683118258
"Massif central","G50",2002,168.465755383621,5.88108386692265,24.120660941004,672.60807516389,0.213682335982287,0.0349096696449114
"Massif central","G60",1982,58.5964473818654,2.30666158467308,11.5316469206108,612.951658037332,0.154770296832406,0.039365212188392
"Massif central","G60",1992,66.7120378189496,2.52216969160446,13.5621023533286,630.478428922467,0.16549445689658,0.0378068152924574
"Massif central","G60",1997,46.0747777475625,1.63770703203901,10.7316357694942,539.235828614135,0.159183720606535,0.0355445454563402
"Massif central","G70",1982,84.9690096169024,3.43940452940079,17.1471644517052,717.217222403468,0.174472048819117,0.0404783408081128
"Massif central","G70",1992,93.4466990088012,3.36371935957297,17.3768242589593,658.121377773773,0.183352681004129,0.0359961282233861
"Massif central","G70",1997,91.6506868532951,3.98942023351767,18.517315427408,580.669098039722,0.201502163910401,0.0435285361243775
"Massif central","G80",1982,83.3502998393421,4.16389116635949,15.3653988221968,835.463493365463,0.153025299838914,0.0499565229445533
"Massif central","G80",1987,123.562337253418,6.82657357875522,22.224257915,904.83907750943,0.176841023334274,0.0552480127075809
"Massif central","G80",1992,137.955218005731,7.06171966562811,22.4022851808742,883.49743248732,0.179679518119523,0.0511884926696631
"Massif central","G80",1997,77.8448448545928,4.00050354620232,16.3706995206963,888.712868081797,0.153146805991103,0.0513907318291263
"Massif central","G90",1982,102.232527631179,4.50652714927166,16.9350989525076,803.577712832044,0.163807954429772,0.0440811476903877
"Massif central","G90",1987,138.779210164345,4.91165315407834,19.4861390666847,735.75205377377,0.183633628875689,0.0353918511876661
"Massif central","G90",1992,122.553751004598,4.14407318657839,19.5725600140238,748.260917953484,0.182495577648151,0.0338143316920826
"Massif central","G90",2002,149.175046485416,4.58475865227282,20.1454550527002,714.894222613936,0.189418636705895,0.0307340856281955
"Alpes","H10",1982,175.732818307581,4.77954516320168,22.2166951096608,732.842131011182,0.196466981335301,0.0271977949778063
"Alpes","H10",1987,213.555753588299,5.82011348884087,23.2902229042337,665.592370590583,0.21107544534759,0.0272533677554814
