"greco","year","name","value"
"Vosges",2023,"alive + dead",0.0261626802588086
"Vosges",2023,"alive + dead +
harvested",0.0256456110377392
"Jura",2015,"alive",0.0335403677003541
"Jura",2015,"alive + dead",0.0333315388982012
"Jura",2015,"alive + dead +
harvested",0.0322357832681534
"Jura",2016,"alive",0.0291150789198739
"Jura",2016,"alive + dead",0.0291484021520624
"Jura",2016,"alive + dead +
harvested",0.0292199628655042
"Jura",2017,"alive",0.0289482346055885
"Jura",2017,"alive + dead",0.028506841829273
"Jura",2017,"alive + dead +
harvested",0.0282104550728913
"Jura",2018,"alive",0.0274268810292801
"Jura",2018,"alive + dead",0.0277348717048143
"Jura",2018,"alive + dead +
harvested",0.0277565307250595
"Jura",2019,"alive",0.0278711769607257
"Jura",2019,"alive + dead",0.0280024303323289
"Jura",2019,"alive + dead +
harvested",0.0284845779183494
"Jura",2020,"alive",0.0258066214687625
"Jura",2020,"alive + dead",0.0259753265829989
"Jura",2020,"alive + dead +
harvested",0.0262804484248739
"Jura",2021,"alive",0.0262200423134023
"Jura",2021,"alive + dead",0.0263587741309698
"Jura",2021,"alive + dead +
harvested",0.0258465368807729
"Jura",2022,"alive",0.0244984701577742
"Jura",2022,"alive + dead",0.0247321202838901
"Jura",2022,"alive + dead +
harvested",0.0253471059454455
"Jura",2023,"alive",0.0263877261102608
"Jura",2023,"alive + dead",0.0259448313133033
"Jura",2023,"alive + dead +
harvested",0.0259365304965141
"Sud ouest",2015,"alive",0.0417115890392399
"Sud ouest",2015,"alive + dead",0.0419960047689698
"Sud ouest",2015,"alive + dead +
harvested",0.0435254806546002
"Sud ouest",2016,"alive",0.039326741832781
"Sud ouest",2016,"alive + dead",0.0397522004158585
"Sud ouest",2016,"alive + dead +
harvested",0.0409525044828221
"Sud ouest",2017,"alive",0.0409979306193845
"Sud ouest",2017,"alive + dead",0.0410140282455153
"Sud ouest",2017,"alive + dead +
harvested",0.0414787919966848
"Sud ouest",2018,"alive",0.0399839364301835
"Sud ouest",2018,"alive + dead",0.0397878333514082
"Sud ouest",2018,"alive + dead +
harvested",0.0408938149937844
"Sud ouest",2019,"alive",0.0427509601425741
"Sud ouest",2019,"alive + dead",0.0428376298776337
"Sud ouest",2019,"alive + dead +
harvested",0.0424576181730431
"Sud ouest",2020,"alive",0.0400884178989248
"Sud ouest",2020,"alive + dead",0.0401514399608888
"Sud ouest",2020,"alive + dead +
harvested",0.042345808257003
"Sud ouest",2021,"alive",0.0433922615566201
"Sud ouest",2021,"alive + dead",0.0428891219949789
"Sud ouest",2021,"alive + dead +
harvested",0.0439962600187315
"Sud ouest",2022,"alive",0.0458167708833714
"Sud ouest",2022,"alive + dead",0.0453550186946243
"Sud ouest",2022,"alive + dead +
harvested",0.0469083056032464
"Sud ouest",2023,"alive",0.0441841843039235
"Sud ouest",2023,"alive + dead",0.0437287358331966
"Sud ouest",2023,"alive + dead +
harvested",0.0440245802819494
"Massif central",2015,"alive",0.0325039149595559
"Massif central",2015,"alive + dead",0.0323663752263968
"Massif central",2015,"alive + dead +
harvested",0.033176898594626
"Massif central",2016,"alive",0.0326491383560218
"Massif central",2016,"alive + dead",0.0323834402556632
"Massif central",2016,"alive + dead +
harvested",0.0327744888396688
"Massif central",2017,"alive",0.0316819961528131
"Massif central",2017,"alive + dead",0.031702793515242
"Massif central",2017,"alive + dead +
harvested",0.0328324235536581
"Massif central",2018,"alive",0.0321276742744165
"Massif central",2018,"alive + dead",0.0320719900515904
"Massif central",2018,"alive + dead +
harvested",0.0327894103204948
"Massif central",2019,"alive",0.0316704062163898
"Massif central",2019,"alive + dead",0.0318572398881765
"Massif central",2019,"alive + dead +
harvested",0.0321070321329119
"Massif central",2020,"alive",0.0299202465618618
"Massif central",2020,"alive + dead",0.0300190550924879
"Massif central",2020,"alive + dead +
harvested",0.0303906406644114
"Massif central",2021,"alive",0.0292768679970545
"Massif central",2021,"alive + dead",0.0294386762027898
"Massif central",2021,"alive + dead +
harvested",0.0299566283724784
"Massif central",2022,"alive",0.0289772845108399
"Massif central",2022,"alive + dead",0.0287396080361151
"Massif central",2022,"alive + dead +
harvested",0.0290023839069893
"Massif central",2023,"alive",0.0289102401692262
"Massif central",2023,"alive + dead",0.0286603400589233
"Massif central",2023,"alive + dead +
harvested",0.0293531356216048
"Alpes",2015,"alive",0.0229080260935425
